privacy-aware-worker  | WARNING:app:No embed test passed; falling back to first matched env candidate: nomic-embed-text
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: UrlRecognizer
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - CreditCardRecognizer supported languages: es, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - CreditCardRecognizer supported languages: it, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - CreditCardRecognizer supported languages: pl, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - EsNifRecognizer supported languages: es, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - EsNieRecognizer supported languages: es, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - ItDriverLicenseRecognizer supported languages: it, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - ItFiscalCodeRecognizer supported languages: it, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - ItVatCodeRecognizer supported languages: it, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - ItIdentityCardRecognizer supported languages: it, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - ItPassportRecognizer supported languages: it, registry supported languages: en
privacy-aware-worker  | WARNING:presidio-analyzer:Recognizer not added to registry because language is not supported by registry - PlPeselRecognizer supported languages: pl, registry supported languages: en
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: SpacyRecognizer
privacy-aware-worker  | INFO:app:Presidio Analyzer initialized successfully.
privacy-aware-worker  | INFO:     Started server process [1]
privacy-aware-worker  | INFO:     Waiting for application startup.
privacy-aware-worker  | INFO:app:Privacy-Aware RAG Worker starting...
privacy-aware-worker  | INFO:app:Initialized DB connection pool (min=1 max=6)
privacy-aware-worker  | INFO:app:Database tables ensured
privacy-aware-worker  | INFO:app:Starting background worker thread 1
privacy-aware-worker  | INFO:app:Starting background worker thread 2
privacy-aware-worker  | INFO:app:Starting background worker thread 3
privacy-aware-worker  | INFO:app:Starting background worker thread 4
privacy-aware-worker  | INFO:app:Configured Ollama embed models (in preference order): ['nomic-embed-text']
privacy-aware-worker  | INFO:app:Database tables ensured
privacy-aware-worker  | INFO:app:Worker service initialized successfully
privacy-aware-worker  | INFO:     Application startup complete.
privacy-aware-worker  | INFO:app:Background worker started
privacy-aware-worker  | INFO:     Uvicorn running on http://0.0.0.0:8001 (Press CTRL+C to quit)
privacy-aware-worker  | INFO:app:Database tables ensured
privacy-aware-worker  | INFO:app:Database tables ensured
privacy-aware-worker  | INFO:app:Database tables ensured
privacy-aware-worker  | INFO:app:Background worker started
privacy-aware-worker  | INFO:app:Background worker started
privacy-aware-worker  | INFO:app:Background worker started
privacy-aware-worker  | INFO:     127.0.0.1:34262 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:56168 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:51996 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:39054 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:56474 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:33936 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:40108 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:41334 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:55938 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:49142 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:58014 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:42878 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:60174 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:51032 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:42362 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:40258 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:50230 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:41956 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:35538 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     172.18.0.8:51266 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:     127.0.0.1:53588 - "GET /health HTTP/1.1" 200 OK
privacy-aware-worker  | INFO:app:DEBUG_MARKER_ENDPOINT_START
privacy-aware-worker  | INFO:app:CHAT /chat received raw body keys: ['query', 'privacy_level', 'org_id', 'user_id', 'user_role', 'department', 'user_category', 'conversation_history']
privacy-aware-worker  | INFO:app:CHAT: building context for role=admin, using top_k=20, search_query='STU20240507 give me his name and company details...'
privacy-aware-worker  | INFO:presidio-analyzer:Fetching all recognizers for language en
privacy-aware-worker  | INFO:app:Generating embedding using nomic-embed-text (384-dim)
privacy-aware-worker  | INFO:app:Ollama embedding success model=nomic-embed-text field=prompt len=768
privacy-aware-worker  | INFO:app:SEARCH DEBUG: role=admin user_id=4 org_id=1 query='STU20240507 give me his name and company details'
privacy-aware-worker  | INFO:httpx:HTTP Request: POST http://chromadb:8000/api/v2/tenants/default_tenant/databases/default_database/collections "HTTP/1.1 200 OK"
privacy-aware-worker  | INFO:httpx:HTTP Request: GET http://chromadb:8000/api/v2/tenants/default_tenant/databases/default_database/collections/ba9d8e60-1626-4676-8d4b-04eb8ed1750e/count "HTTP/1.1 200 OK"
privacy-aware-worker  | INFO:app:Target Collection: privacy_documents_1 | Items: 17161
privacy-aware-worker  | SEARCHING with embeddings in collection: privacy_documents_1
privacy-aware-worker  | INFO:httpx:HTTP Request: POST http://chromadb:8000/api/v2/tenants/default_tenant/databases/default_database/collections/ba9d8e60-1626-4676-8d4b-04eb8ed1750e/query "HTTP/1.1 200 OK"
privacy-aware-worker  | RAW RESULTS: {'ids': [['doc_1_23436', 'doc_1_31', 'doc_1_23416', 'doc_1_11', 'doc_1_23439', 'doc_1_34', 'doc_1_23452', 'doc_1_47', 'doc_1_23431', 'doc_1_26', 'doc_1_23417', 'doc_1_12', 'doc_1_23480', 'doc_1_75', 'doc_1_23428', 'doc_1_23', 'doc_1_23409', 'doc_1_4', 'doc_1_23464', 'doc_1_59', 'doc_1_23474', 'doc_1_69']], 'distances': [[243.31499, 243.31499, 243.64769, 243.64769, 245.69876, 245.69876, 248.70795, 248.70795, 248.74167, 248.74167, 249.60172, 249.60172, 252.52466, 252.52466, 252.53793, 252.53793, 252.71127, 252.71127, 252.88716, 252.88716, 253.97874, 253.97874]], 'embeddings': None, 'metadatas': [[{'org_id': 1, 'access_level': 'student', 'doc_id': 23436, 'filename': 'alumni.csv'}, {'org_id': 1, 'filename': 'alumni.csv', 'doc_id': 31, 'access_level': 'student'}, {'filename': 'alumni.csv', 'org_id': 1, 'access_level': 'student', 'doc_id': 23416}, {'doc_id': 11, 'org_id': 1, 'filename': 'alumni.csv', 'access_level': 'student'}, {'org_id': 1, 'access_level': 'student', 'filename': 'alumni.csv', 'doc_id': 23439}, {'doc_id': 34, 'filename': 'alumni.csv', 'org_id': 1, 'access_level': 'student'}, {'doc_id': 23452, 'filename': 'alumni.csv', 'access_level': 'student', 'org_id': 1}, {'access_level': 'student', 'doc_id': 47, 'org_id': 1, 'filename': 'alumni.csv'}, {'org_id': 1, 'doc_id': 23431, 'filename': 'alumni.csv', 'access_level': 'student'}, {'filename': 'alumni.csv', 'org_id': 1, 'access_level': 'student', 'doc_id': 26}, {'doc_id': 23417, 'filename': 'alumni.csv', 'org_id': 1, 'access_level': 'student'}, {'doc_id': 12, 'access_level': 'student', 'filename': 'alumni.csv', 'org_id': 1}, {'org_id': 1, 'doc_id': 23480, 'filename': 'alumni.csv', 'access_level': 'student'}, {'doc_id': 75, 'access_level': 'student', 'filename': 'alumni.csv', 'org_id': 1}, {'access_level': 'student', 'org_id': 1, 'doc_id': 23428, 'filename': 'alumni.csv'}, {'org_id': 1, 'filename': 'alumni.csv', 'doc_id': 23, 'access_level': 'student'}, {'filename': 'alumni.csv', 'doc_id': 23409, 'org_id': 1, 'access_level': 'student'}, {'org_id': 1, 'access_level': 'student', 'filename': 'alumni.csv', 'doc_id': 4}, {'filename': 'alumni.csv', 'access_level': 'student', 'doc_id': 23464, 'org_id': 1}, {'doc_id': 59, 'access_level': 'student', 'filename': 'alumni.csv', 'org_id': 1}, {'filename': 'alumni.csv', 'access_level': 'student', 'org_id': 1, 'doc_id': 23474}, {'access_level': 'student', 'filename': 'alumni.csv', 'doc_id': 69, 'org_id': 1}]], 'documents': [['alumni_id: STU20240359 | student_id: STU20240359 | graduation_year: 2024 | degree: M.Tech | current_company: Operations Manager | current_position: Operations Manager | linkedin_url: https://linkedin.com/in/duane-skinner | email: duane.skinner@gmail.com | phone: (708)780-5017x1644 | willing_to_mentor: True | record_type: csv_row | row_index: 30 | source: csv_upload', 'alumni_id: STU20240359 | student_id: STU20240359 | graduation_year: 2024 | degree: M.Tech | current_company: Operations Manager | current_position: Operations Manager | linkedin_url: https://linkedin.com/in/duane-skinner | email: duane.skinner@gmail.com | phone: (708)780-5017x1644 | willing_to_mentor: True | record_type: csv_row | row_index: 30 | source: csv_upload', 'alumni_id: STU20240133 | student_id: STU20240133 | graduation_year: 2024 | degree: B.Tech | current_company: Marketing Executive | current_position: Marketing Executive | linkedin_url: https://linkedin.com/in/daniel-schneider | email: daniel.schneider@gmail.com | phone: (231)377-9717x7517 | willing_to_mentor: True | record_type: csv_row | row_index: 10 | source: csv_upload', 'alumni_id: STU20240133 | student_id: STU20240133 | graduation_year: 2024 | degree: B.Tech | current_company: Marketing Executive | current_position: Marketing Executive | linkedin_url: https://linkedin.com/in/daniel-schneider | email: daniel.schneider@gmail.com | phone: (231)377-9717x7517 | willing_to_mentor: True | record_type: csv_row | row_index: 10 | source: csv_upload', 'alumni_id: STU20240368 | student_id: STU20240368 | graduation_year: 2024 | degree: M.Tech | current_company: HR Associate | current_position: HR Associate | linkedin_url: https://linkedin.com/in/mark-sheppard | email: mark.sheppard@gmail.com | phone: +1-587-282-4556x9644 | willing_to_mentor: False | record_type: csv_row | row_index: 33 | source: csv_upload', 'alumni_id: STU20240368 | student_id: STU20240368 | graduation_year: 2024 | degree: M.Tech | current_company: HR Associate | current_position: HR Associate | linkedin_url: https://linkedin.com/in/mark-sheppard | email: mark.sheppard@gmail.com | phone: +1-587-282-4556x9644 | willing_to_mentor: False | record_type: csv_row | row_index: 33 | source: csv_upload', 'alumni_id: STU20240507 | student_id: STU20240507 | graduation_year: 2024 | degree: B.Tech | current_company: Microsoft | current_position: Software Engineer | linkedin_url: https://linkedin.com/in/john-fritz | email: john.fritz@gmail.com | phone: 292-836-5346 | willing_to_mentor: True | record_type: csv_row | row_index: 46 | source: csv_upload', 'alumni_id: STU20240507 | student_id: STU20240507 | graduation_year: 2024 | degree: B.Tech | current_company: Microsoft | current_position: Software Engineer | linkedin_url: https://linkedin.com/in/john-fritz | email: john.fritz@gmail.com | phone: 292-836-5346 | willing_to_mentor: True | record_type: csv_row | row_index: 46 | source: csv_upload', 'alumni_id: STU20240265 | student_id: STU20240265 | graduation_year: 2024 | degree: B.E. | current_company: Consultant | current_position: Consultant | linkedin_url: https://linkedin.com/in/joseph-sherman | email: joseph.sherman@gmail.com | phone: (300)289-4346 | willing_to_mentor: False | record_type: csv_row | row_index: 25 | source: csv_upload', 'alumni_id: STU20240265 | student_id: STU20240265 | graduation_year: 2024 | degree: B.E. | current_company: Consultant | current_position: Consultant | linkedin_url: https://linkedin.com/in/joseph-sherman | email: joseph.sherman@gmail.com | phone: (300)289-4346 | willing_to_mentor: False | record_type: csv_row | row_index: 25 | source: csv_upload', 'alumni_id: STU20240150 | student_id: STU20240150 | graduation_year: 2024 | degree: B.E. | current_company: Marketing Executive | current_position: Marketing Executive | linkedin_url: https://linkedin.com/in/jose-macdonald | email: jose.macdonald@gmail.com | phone: (202)642-8699 | willing_to_mentor: False | record_type: csv_row | row_index: 11 | source: csv_upload', 'alumni_id: STU20240150 | student_id: STU20240150 | graduation_year: 2024 | degree: B.E. | current_company: Marketing Executive | current_position: Marketing Executive | linkedin_url: https://linkedin.com/in/jose-macdonald | email: jose.macdonald@gmail.com | phone: (202)642-8699 | willing_to_mentor: False | record_type: csv_row | row_index: 11 | source: csv_upload', 'alumni_id: STU20240927 | student_id: STU20240927 | graduation_year: 2024 | degree: B.Tech | current_company: Data Analyst | current_position: Data Analyst | linkedin_url: https://linkedin.com/in/joshua-cunningham | email: joshua.cunningham@gmail.com | phone: 001-287-203-6883 | willing_to_mentor: True | record_type: csv_row | row_index: 74 | source: csv_upload', 'alumni_id: STU20240927 | student_id: STU20240927 | graduation_year: 2024 | degree: B.Tech | current_company: Data Analyst | current_position: Data Analyst | linkedin_url: https://linkedin.com/in/joshua-cunningham | email: joshua.cunningham@gmail.com | phone: 001-287-203-6883 | willing_to_mentor: True | record_type: csv_row | row_index: 74 | source: csv_upload', 'alumni_id: STU20240255 | student_id: STU20240255 | graduation_year: 2024 | degree: B.Tech | current_company: Product Manager | current_position: Product Manager | linkedin_url: https://linkedin.com/in/matthew-reeves | email: matthew.reeves@gmail.com | phone: 588.814.7617x4224 | willing_to_mentor: True | record_type: csv_row | row_index: 22 | source: csv_upload', 'alumni_id: STU20240255 | student_id: STU20240255 | graduation_year: 2024 | degree: B.Tech | current_company: Product Manager | current_position: Product Manager | linkedin_url: https://linkedin.com/in/matthew-reeves | email: matthew.reeves@gmail.com | phone: 588.814.7617x4224 | willing_to_mentor: True | record_type: csv_row | row_index: 22 | source: csv_upload', 'alumni_id: STU20240041 | student_id: STU20240041 | graduation_year: 2024 | degree: B.Tech | current_company: Software Engineer | current_position: Software Engineer | linkedin_url: https://linkedin.com/in/shawn-arnold | email: shawn.arnold@gmail.com | phone: 367.736.5766 | willing_to_mentor: True | record_type: csv_row | row_index: 3 | source: csv_upload', 'alumni_id: STU20240041 | student_id: STU20240041 | graduation_year: 2024 | degree: B.Tech | current_company: Software Engineer | current_position: Software Engineer | linkedin_url: https://linkedin.com/in/shawn-arnold | email: shawn.arnold@gmail.com | phone: 367.736.5766 | willing_to_mentor: True | record_type: csv_row | row_index: 3 | source: csv_upload', 'alumni_id: STU20240682 | student_id: STU20240682 | graduation_year: 2024 | degree: M.Tech | current_company: Marketing Executive | current_position: Marketing Executive | linkedin_url: https://linkedin.com/in/javier-morgan | email: javier.morgan@gmail.com | phone: 252.433.2829x302 | willing_to_mentor: True | record_type: csv_row | row_index: 58 | source: csv_upload', 'alumni_id: STU20240682 | student_id: STU20240682 | graduation_year: 2024 | degree: M.Tech | current_company: Marketing Executive | current_position: Marketing Executive | linkedin_url: https://linkedin.com/in/javier-morgan | email: javier.morgan@gmail.com | phone: 252.433.2829x302 | willing_to_mentor: True | record_type: csv_row | row_index: 58 | source: csv_upload', 'alumni_id: STU20240847 | student_id: STU20240847 | graduation_year: 2024 | degree: M.Tech | current_company: Business Analyst | current_position: Business Analyst | linkedin_url: https://linkedin.com/in/andrew-lopez | email: andrew.lopez@gmail.com | phone: 4286655052 | willing_to_mentor: True | record_type: csv_row | row_index: 68 | source: csv_upload', 'alumni_id: STU20240847 | student_id: STU20240847 | graduation_year: 2024 | degree: M.Tech | current_company: Business Analyst | current_position: Business Analyst | linkedin_url: https://linkedin.com/in/andrew-lopez | email: andrew.lopez@gmail.com | phone: 4286655052 | willing_to_mentor: True | record_type: csv_row | row_index: 68 | source: csv_upload']], 'uris': None, 'data': None, 'included': ['metadatas', 'documents', 'distances']}
privacy-aware-worker  | INFO:app:Hybrid Search: Found potential ID 'STU20240507' - Querying Chroma...
privacy-aware-worker  | INFO:httpx:HTTP Request: POST http://chromadb:8000/api/v2/tenants/default_tenant/databases/default_database/collections/ba9d8e60-1626-4676-8d4b-04eb8ed1750e/get "HTTP/1.1 200 OK"
privacy-aware-worker  | INFO:app:Hybrid Search: Found 13 EXACT matches for 'STU20240507'
privacy-aware-worker  | INFO:app:Hybrid Search: After round-robin diversification: 13 records from 4 file types
privacy-aware-worker  | INFO:app:CHROMA FINAL RESULTS: 33 chunks (Primary + Hybrid)
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_5223 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_5222 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_5221 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_5220 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_5219 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_5218 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_5217 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_5216 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_11167 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_5215 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_10167 Distance: 0.0
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23436 Distance: 243.31499
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_31 Distance: 243.31499
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23416 Distance: 243.64769
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_11 Distance: 243.64769
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23439 Distance: 245.69876
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_34 Distance: 245.69876
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23452 Distance: 248.70795
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_47 Distance: 248.70795
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23431 Distance: 248.74167
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_26 Distance: 248.74167
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23417 Distance: 249.60172
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_12 Distance: 249.60172
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23480 Distance: 252.52466
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_75 Distance: 252.52466
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23428 Distance: 252.53793
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23 Distance: 252.53793
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23409 Distance: 252.71127
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_4 Distance: 252.71127
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23464 Distance: 252.88716
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_59 Distance: 252.88716
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_23474 Distance: 253.97874
privacy-aware-worker  | INFO:app:DEBUG: Doc doc_1_69 Distance: 253.97874
privacy-aware-worker  | INFO:app:CHAT: Final context assembly complete. 20 records. Total len: 6478
privacy-aware-worker  | INFO:app:ASSEMELD CONTEXT (1000 chars): DOCUMENT RECORD 1:
privacy-aware-worker  | result_id: RES004563 | student_id: STU20240507 | course_id: TECH301 | semester: 5 | academic_year: 2023-2024 | grade: D+ | score: 64 | credits: 4 | remarks: Pass - Needs Improvement | record_type: csv_row | row_index: 4562 | source: csv_upload
privacy-aware-worker  | ---
privacy-aware-worker  | 
privacy-aware-worker  | DOCUMENT RECORD 2:
privacy-aware-worker  | result_id: RES004562 | student_id: STU20240507 | course_id: COMM201 | semester: 3 | academic_year: 2022-2023 | grade: C | score: 65 | credits: 4 | remarks: Pass | record_type: csv_row | row_index: 4561 | source: csv_upload
privacy-aware-worker  | ---
privacy-aware-worker  | 
privacy-aware-worker  | DOCUMENT RECORD 3:
privacy-aware-worker  | result_id: RES004561 | student_id: STU20240507 | course_id: ENG102 | semester: 1 | academic_year: 2021-2022 | grade: C | score: 69 | credits: 3 | remarks: Pass | record_type: csv_row | row_index: 4560 | source: csv_upload
privacy-aware-worker  | ---
privacy-aware-worker  | 
privacy-aware-worker  | DOCUMENT RECORD 4:
privacy-aware-worker  | result_id: RES004560 | student_id: STU20240507 | course_id: LIT301 | semester: 5 | academic_year: 2023-2024 | grade: C | score: 65 | credits: 4 | remarks: Pass | record_type: csv_row | row_index: 4559 | source: csv_uploa
privacy-aware-worker  | INFO:presidio-analyzer:Fetching all recognizers for language en
privacy-aware-worker  | INFO:presidio-analyzer:Fetching all recognizers for language en
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
privacy-aware-worker  | WARNING:presidio-analyzer:Entity CARDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
